Classifier,Accuracy,Log Loss
kNN,97.28549096123558,0.6354479312483641
GaussianNB,97.74389383859517,0.30386302462132175
DecisionTree,97.42924140200758,0.8879085638135473
Bagging,98.03497966571851,0.110006070358415
AdamBoost,98.32694703683678,0.284027468898037
RandomForest,98.39952749241873,0.05131982763886929
SVM_Linear,96.0958179552881,0.19664589524490123
SVM_Poly,97.74430522579281,0.18956780974941595
SVM_RBF,97.50252709278546,0.15909436646018665
SVM_Sigmoid,95.99949458144289,0.17425218767676315
