,keypoint_coords,keypoint_scores
471,"[[362.55275775111, 480.5360288483104], [335.95484525103905, 486.24442725660697], [358.5448470448339, 448.61662504205293], [347.2304950093114, 511.9879880476226], [327.52109577489455, 427.5281433397503], [373.8000539735306, 540.554993551884], [345.1799671705379, 368.2979368364982], [468.5567708569904, 534.3797835208583], [470.51958004263946, 304.22791403446473], [507.43752767873366, 530.5991900138307], [569.034351348877, 325.76357900811155], [504.4735895644787, 481.0657482968563], [499.2048173061637, 345.661772951555], [579.9611767170042, 511.43328214946547], [560.9050654034282, 332.3458672482431], [715.8119772534038, 493.0965208208732], [690.5925259257472, 367.2516073564593]]","[0.8738149404525757, 0.8914695978164673, 0.845238447189331, 0.7113553881645203, 0.8077682256698608, 0.9275574684143066, 0.9232823848724365, 0.898094892501831, 0.9663022756576538, 0.793491005897522, 0.9503990411758423, 0.9263723492622375, 0.8924848437309265, 0.7493895888328552, 0.7639577388763428, 0.6476110816001892, 0.6931984424591064]"
472,"[[372.86775393818704, 481.20413894288276], [355.4707260131836, 484.9224218341152], [362.007477338924, 449.94041917426733], [356.01479392827946, 514.0420780455667], [335.0999340234801, 423.13499925239233], [398.3706933842149, 528.6938885410436], [353.3803337895593, 365.8873752429725], [484.0836243740348, 539.9111748654307], [478.95136984004534, 299.86521269145766], [528.3796950699979, 526.6949200059809], [572.826601338941, 326.950546337657], [524.5515670499136, 506.1927379261364], [507.7141974693121, 344.13125070088216], [567.510409421699, 509.35252504485646], [571.397495580274, 327.61899227160586], [721.1299800429233, 494.7592586535586], [699.4141634564068, 369.22828199760767]]","[0.8661959171295166, 0.9183796644210815, 0.8983432054519653, 0.7199849486351013, 0.8035954833030701, 0.9268710017204285, 0.9236075282096863, 0.8995668888092041, 0.9673770666122437, 0.8160285353660583, 0.9257829189300537, 0.8178290128707886, 0.8983621001243591, 0.5996085405349731, 0.7453809380531311, 0.625433623790741, 0.6850935220718384]"
473,"[[367.0941041902054, 480.1849336030951], [349.83942972227584, 481.60579261597263], [363.48591755711755, 445.5854585638457], [353.7331200533135, 509.7989242042651], [329.98534336755444, 425.9245103169856], [380.26891176090686, 542.8247187126196], [353.34104888383735, 367.1260034296501], [480.5784685001817, 539.7058543520111], [476.8952771120293, 302.0330168071546], [523.5066315462423, 519.6710117467853], [559.2954928375954, 323.47842859879637], [515.0060463173445, 482.79199408572254], [507.1620845572893, 348.42856375224284], [586.2181435518487, 511.1566191312799], [573.2995507883471, 334.08029072592706], [715.9414467478907, 493.72465726861543], [693.2622713044633, 373.10021213367224]]","[0.8516501188278198, 0.8990856409072876, 0.822913646697998, 0.7413622736930847, 0.7951012253761292, 0.932144045829773, 0.9284048080444336, 0.9064862728118896, 0.9644862413406372, 0.8007116317749023, 0.9500383138656616, 0.9124265909194946, 0.8948298692703247, 0.6936781406402588, 0.7277255058288574, 0.5950804352760315, 0.672325849533081]"
474,"[[372.40652004508087, 476.15387985010466], [351.4984406759573, 480.5352403558612], [358.8513379651447, 447.3093016409988], [353.46840831845304, 511.124672045548], [333.863564912663, 425.49013858776914], [397.7645897089049, 529.343290922174], [351.8346802911093, 367.3276822760915], [486.3045915115711, 535.8737372439443], [476.2365132708882, 297.9563002152876], [542.1719790613929, 515.9838224712171], [565.0680907049845, 323.3011112486917], [523.5808891196584, 511.2499357524671], [504.96375489789386, 346.4765952078349], [586.4447324885879, 507.5433203592255], [574.5443916320801, 328.1222928425912], [723.4014169781707, 494.3434895054575], [697.3162537508233, 371.19475880308016]]","[0.8646201491355896, 0.9188928604125977, 0.904215931892395, 0.7375915050506592, 0.7847076654434204, 0.9321093559265137, 0.9345637559890747, 0.8952326774597168, 0.967800498008728, 0.7617843151092529, 0.9488556981086731, 0.8291172981262207, 0.8975608944892883, 0.5440826416015625, 0.7143294215202332, 0.5754782557487488, 0.6822969317436218]"
475,"[[369.3775479959887, 476.49225992449163], [348.32742380541424, 480.1894740054482], [361.0585015319115, 443.60192695873207], [350.0644597341848, 513.756782495234], [331.33459831947505, 421.86799117822966], [378.96612300429234, 544.9677243757476], [353.65919867227245, 366.9804594049043], [489.15018046179483, 540.8185573742151], [480.50654695200365, 302.6893491608104], [547.6399157768072, 524.0003083881579], [577.0007091788359, 330.816361276727], [513.0085502668869, 481.9887327349357], [503.29375746083815, 348.91596889952154], [579.6728417596152, 514.0017349754224], [559.2965069260708, 325.32108580666863], [723.0580692956614, 489.6270605936005], [693.7467410508976, 371.4922716058612]]","[0.8688539266586304, 0.9066705107688904, 0.8175495266914368, 0.715501070022583, 0.7871875762939453, 0.9307671189308167, 0.9349448680877686, 0.8860737085342407, 0.9671146869659424, 0.7286953926086426, 0.923600435256958, 0.9152315258979797, 0.871252179145813, 0.6750093102455139, 0.706480860710144, 0.5623356103897095, 0.6564255952835083]"
476,"[[372.1216934558957, 473.5485664623206], [346.7923269050066, 477.9809015447443], [354.2920465691145, 436.0889255943481], [347.52344375432926, 511.3352696176921], [343.1479606184849, 413.2557612514952], [397.16684439015944, 529.0800395764803], [362.1144825691401, 355.74330599114086], [485.3623710454897, 534.4391540819378], [461.21529623519547, 303.32593853964187], [545.2182693481445, 523.2257167688397], [572.2657537238542, 317.74662291604363], [518.60976324525, 506.2623530483702], [500.58815996036975, 349.04001920417164], [581.4177919875744, 507.2531492972488], [568.3214093585348, 328.2235498747757], [716.6116001883219, 485.0786973871112], [697.5873523534731, 374.8434638064444]]","[0.8816326856613159, 0.9141373038291931, 0.8636215925216675, 0.7328967452049255, 0.35505348443984985, 0.9321644306182861, 0.9672548174858093, 0.8944852352142334, 0.9317567348480225, 0.7273489832878113, 0.9472156763076782, 0.8249468803405762, 0.8710849285125732, 0.5914679765701294, 0.7248846292495728, 0.567453145980835, 0.6532917022705078]"
477,"[[355.1653940511304, 484.9885405764055], [344.07781676358957, 469.1210484846927], [346.45071451054065, 442.4401680248206], [336.9591849349266, 512.2646233225553], [315.66230105244836, 429.85937675220543], [372.6555386033169, 545.8692808014354], [357.54973336153256, 355.2480743262186], [484.2227749491847, 538.292662698116], [451.05509341040323, 308.35125644811603], [546.378351921259, 528.8591740804426], [566.068548823512, 323.7859464946546], [508.6968665233878, 484.04642205489307], [499.5635558283606, 346.8287242542614], [570.6147672963697, 504.55496902100776], [562.3428853944291, 329.46395947032], [714.5327030669812, 490.36963357879785], [691.968864440918, 373.8756506522877]]","[0.8516581654548645, 0.8167337775230408, 0.8275592923164368, 0.7102737426757812, 0.7976565957069397, 0.936875581741333, 0.9679486751556396, 0.9137754440307617, 0.9345178008079529, 0.799490213394165, 0.951401948928833, 0.9257069826126099, 0.8739542961120605, 0.5632603168487549, 0.7613797783851624, 0.6036384105682373, 0.6718143224716187]"
478,"[[342.34458366660186, 484.19955166903407], [326.4287799790848, 471.5363176701742], [328.0590697111086, 444.0443997177781], [321.63435311650125, 509.81228915127843], [302.4780682852102, 434.84165903483853], [367.2845670123433, 542.3019657408792], [352.80379614719124, 369.3035100179426], [465.0874922996344, 576.3211745850778], [439.6430440281713, 309.42880292828573], [531.7044629440751, 527.4705103824014], [552.1925006467243, 317.73081218226673], [506.73664767243145, 472.9568072597376], [504.17442086685537, 354.4723758971292], [613.4737286456796, 495.74861188824667], [570.8046096979185, 334.65702914735346], [747.3381944035375, 483.28264008298447], [703.4514827284702, 378.38762055173447]]","[0.8831759691238403, 0.8540987968444824, 0.8511119484901428, 0.7505197525024414, 0.7906174659729004, 0.9500163793563843, 0.9771721363067627, 0.813865065574646, 0.9461503028869629, 0.8029839396476746, 0.9608007669448853, 0.8953568935394287, 0.8768842816352844, 0.9117379784584045, 0.7623888850212097, 0.8991278409957886, 0.6653773784637451]"
479,"[[333.31350222299267, 482.4664511064593], [317.11755477342496, 468.62158378345543], [319.02788709485253, 438.6814303603469], [309.30117599354236, 506.66566109543214], [308.07776328020316, 420.98141610907595], [358.76332012442657, 540.7340047005831], [344.48932882796885, 371.28842002467104], [441.27513439710754, 583.5660184285287], [437.65207656594214, 311.46495618318255], [543.9231980567755, 536.3830507999402], [553.9381358568058, 321.31396425968154], [515.1971185373706, 476.8675794099507], [507.70976791825404, 355.48140092329544], [622.5364853947661, 498.57290532600365], [582.5917064755462, 341.9520386326256], [752.9351455333622, 482.60623840624066], [753.9224693165269, 403.93904325494356]]","[0.9004162549972534, 0.871276319026947, 0.8530076742172241, 0.7742588520050049, 0.3909795880317688, 0.9561033248901367, 0.9807528853416443, 0.7943986654281616, 0.9616700410842896, 0.8244533538818359, 0.9604763984680176, 0.9178613424301147, 0.8924156427383423, 0.908057451248169, 0.7639608383178711, 0.9043391942977905, 0.8045028448104858]"
480,"[[305.9756562876147, 461.2916908081639], [295.2656883860743, 465.92365027614755], [297.0188284807427, 436.76392769699464], [292.55004920515904, 498.02202945690976], [292.1498983959819, 422.90739944677034], [347.45755319817124, 534.4620524867299], [335.33239805975626, 378.57791006279905], [455.0276905325956, 536.1009398829995], [426.1554818874182, 315.0265283904007], [520.2758208540984, 537.6338392923893], [549.1981540502504, 321.99446828741776], [510.0056059637735, 486.2917517703116], [509.14955309934396, 358.2203550201854], [613.6852448263834, 493.41569088292465], [617.7022051700326, 377.6990271755383], [759.5974784895432, 486.05870005046353], [751.3155738032142, 408.3024823494505]]","[0.8043215274810791, 0.8938417434692383, 0.873314380645752, 0.7848068475723267, 0.41144999861717224, 0.967106819152832, 0.9846066236495972, 0.959187388420105, 0.9737541675567627, 0.8803279399871826, 0.9678224325180054, 0.9740016460418701, 0.9152592420578003, 0.7537862658500671, 0.6717725992202759, 0.9183599352836609, 0.8490868806838989]"
481,"[[299.2229041166084, 454.4408537212171], [285.3031635284424, 462.34235991701553], [286.7807943654615, 431.35048314144734], [283.56452458403834, 493.0844375391326], [274.2999162008596, 431.6215318013606], [328.8804963355841, 529.2103364935332], [329.00349707936135, 373.8067042884644], [446.430632657783, 539.9775776110197], [425.72942615664283, 315.51422703209107], [494.6777373912723, 536.8374035118869], [545.1341724395752, 321.94522255345396], [488.6696316475092, 485.72972639896085], [501.42612142341085, 353.9857417202452], [631.2522646465967, 495.4726001064173], [615.7155727785687, 379.3791936116926], [755.8691318201464, 485.2803769636382], [747.4523163618044, 407.1807350268204]]","[0.7737303376197815, 0.8767743110656738, 0.8304202556610107, 0.7550398111343384, 0.7105100154876709, 0.9629490375518799, 0.9793949127197266, 0.954676628112793, 0.9720855951309204, 0.8740951418876648, 0.9681708812713623, 0.9791932106018066, 0.9176211953163147, 0.957143247127533, 0.692586362361908, 0.9246779084205627, 0.8712664842605591]"
482,"[[295.8215127989303, 459.9263197611393], [268.3623242489127, 466.6702504135205], [270.16317531674406, 435.1765230169707], [265.4967873595482, 493.5630699778288], [265.94689462351243, 424.8842376270933], [319.2878602493641, 539.74639746561], [319.5747905997343, 352.90492299641147], [418.8341587310614, 583.332245019064], [413.9222503484682, 325.85373581881726], [503.4073322207429, 531.60018993907], [532.4966770493708, 320.6197375429874], [478.2440588751505, 487.19359566720476], [496.2885444995969, 354.79038950358853], [617.6699700688207, 487.32616388056266], [605.0039782413216, 381.289611524372], [756.009444502897, 484.0543420234936], [747.6212864920151, 403.08242359800204]]","[0.8522466421127319, 0.8834308385848999, 0.8309935331344604, 0.7286550402641296, 0.32108592987060547, 0.8807640075683594, 0.8582842350006104, 0.8501666784286499, 0.9679405093193054, 0.7193989753723145, 0.9621906280517578, 0.9809757471084595, 0.9102132320404053, 0.950928807258606, 0.7056631445884705, 0.9413515329360962, 0.8807730078697205]"
483,"[[269.5399045722429, 462.8284509102123], [235.37384663071745, 467.6656739449387], [240.66190861546715, 434.9108185836573], [248.97781518448232, 514.5471162202826], [238.23672547451287, 418.45475338292465], [325.20591682611513, 541.5820224889728], [299.67938250164656, 347.4663780978992], [402.9420861310737, 579.1136936023474], [393.22702248151916, 323.0803654866926], [512.2608096100563, 536.3561544463965], [521.8127038257066, 322.1831107253663], [466.60418443901597, 485.1240050393429], [476.83058960493224, 353.972413277512], [631.594437624133, 485.92349403782896], [622.652208793995, 389.3698368346292], [759.2128082763318, 483.08035745575097], [757.0556310831115, 397.49454370526036]]","[0.8796374201774597, 0.8778296709060669, 0.7931379079818726, 0.7633610367774963, 0.5979924201965332, 0.9033714532852173, 0.9381008148193359, 0.8588865995407104, 0.26384758949279785, 0.7700431942939758, 0.9610199332237244, 0.9885621666908264, 0.9022977352142334, 0.821337103843689, 0.8356302976608276, 0.9422216415405273, 0.8733285665512085]"
484,"[[229.57598000903462, 456.20556991066087], [208.40126131024473, 474.6011878200695], [205.74941738816196, 443.1135756205143], [213.35350962849552, 507.4769716399708], [206.59008138124332, 419.17707671389053], [286.03851939356605, 529.3616277521306], [276.7964823523233, 357.4074193050987], [400.90205347815225, 534.7090112421502], [374.4093636801077, 299.9882408762663], [512.8784272837084, 533.7834788053229], [527.423624260481, 303.0257083582536], [489.90337105684506, 486.32030797346926], [470.44289353836416, 360.41674454246413], [641.6854212339534, 481.5401827433463], [656.3871893771859, 392.9771021792763], [798.3511514441911, 492.7509521411366], [792.9083275905875, 412.6681284927295]]","[0.9173983335494995, 0.9210801124572754, 0.9259530305862427, 0.737013041973114, 0.7486746311187744, 0.4486844837665558, 0.9743980169296265, 0.93617182970047, 0.9730914235115051, 0.891352653503418, 0.9482122659683228, 0.9731155633926392, 0.9050145149230957, 0.9916949272155762, 0.8896481990814209, 0.9060860872268677, 0.8445312976837158]"
485,"[[224.48474724348202, 444.861663380308], [174.63217983689418, 470.51680423426285], [173.7166626508846, 431.15338923258076], [186.82700159383376, 493.1997468939238], [181.59493965326354, 404.38933304052034], [263.82379647188407, 515.4137482711573], [259.118495231451, 360.643555855637], [394.5232385591019, 544.8371529465087], [367.12155386458994, 301.50443191163276], [506.8388249596884, 573.9338589170903], [496.2579013913177, 304.31527315714715], [449.7091303093489, 481.8560718007065], [466.1801190930744, 366.4721913314892], [642.1701917426531, 481.6528269206508], [641.4645357575528, 388.63676664361543], [790.1012865998024, 500.53379770671353], [779.1321561059286, 401.89308641059546]]","[0.951522707939148, 0.9475107192993164, 0.9423636198043823, 0.7393008470535278, 0.5824846029281616, 0.5744686126708984, 0.9637676477432251, 0.9781492948532104, 0.9606724381446838, 0.8396262526512146, 0.9639899730682373, 0.9904296398162842, 0.8728657960891724, 0.9892724752426147, 0.905320405960083, 0.9140281081199646, 0.8720999956130981]"
486,"[[204.8741027477176, 445.2218817751944], [157.82814487191135, 472.74561831825656], [158.2361296720283, 429.5617617374402], [167.86659409279048, 495.87052158191443], [163.13223071431005, 401.3098319751794], [249.11245904966842, 521.1306339245664], [236.12459491020027, 358.6520575564444], [393.94554825716244, 545.4643139998878], [362.5974469295768, 295.75454182602], [499.8254016610079, 549.0310829564145], [487.7436145516329, 302.23161177201706], [446.01739475338957, 480.9105744430323], [454.77151036816974, 361.8091345974133], [631.6903744880543, 480.3065359307248], [613.3003903766012, 380.3966642680921], [786.2915010674055, 501.11209705115505], [761.6303117441577, 384.65613771283455]]","[0.9682649374008179, 0.9658337831497192, 0.9533411264419556, 0.8138893842697144, 0.6243155598640442, 0.7488981485366821, 0.9803844690322876, 0.9815363883972168, 0.9692401885986328, 0.9089875221252441, 0.9672327041625977, 0.99235600233078, 0.9024289846420288, 0.9896382689476013, 0.9311481714248657, 0.9284886717796326, 0.84825599193573]"
487,"[[169.712216222009, 436.84372897353467], [130.36230175994163, 467.79823558752616], [139.48992316667423, 438.9006429425837], [147.51287784132847, 478.9693520285866], [145.29003369530966, 385.9390068966806], [252.71372027729834, 515.900388288726], [213.55704320863236, 331.98848450583137], [365.80995009666265, 539.5622669566761], [343.65097999572754, 297.19906565104947], [481.2944527559502, 555.1511277194228], [470.57962856736293, 294.1510099315187], [428.12277691863306, 477.3184729763195], [440.1580671266068, 362.1884345095694], [629.2461391992348, 471.43892133064816], [604.4491143781086, 375.49719413501793], [777.7851883644281, 506.7930157675127], [746.1354665756226, 378.0706509676847]]","[0.9771355390548706, 0.9547678828239441, 0.9744025468826294, 0.762514591217041, 0.5235505700111389, 0.9925099611282349, 0.6830499768257141, 0.9702833890914917, 0.9768363237380981, 0.9290376305580139, 0.9634052515029907, 0.9913661479949951, 0.9169645309448242, 0.9900586605072021, 0.931801438331604, 0.9166518449783325, 0.8870898485183716]"
488,"[[136.35154293858727, 437.6548307135915], [105.76054816814356, 461.10301040576405], [102.94521874605223, 414.66902591395035], [114.95156373534093, 481.71980497369356], [115.75300226655118, 397.26629740883857], [216.21551866309588, 505.56808690705367], [193.81132338767827, 315.85786226263457], [333.86407195690066, 561.3722513737291], [327.72027834071673, 293.7417089197624], [465.9257372035537, 561.4418956993869], [473.4706436423368, 297.7392348148036], [427.081081301667, 475.3401527222264], [428.5378225459609, 359.16757976039173], [631.7329614800076, 466.0913596997421], [606.2126016395036, 363.9060630980861], [782.7575287042663, 502.40094928650194], [733.8801758566568, 337.4043675472862]]","[0.9797879457473755, 0.9743207693099976, 0.9590039253234863, 0.7222675085067749, 0.7899242639541626, 0.9951469898223877, 0.821735143661499, 0.9649840593338013, 0.9835638999938965, 0.9520059823989868, 0.9562897682189941, 0.992775559425354, 0.934149444103241, 0.9922020435333252, 0.9561276435852051, 0.921513557434082, 0.8833189010620117]"
489,"[[115.92398482699727, 428.53519129410887], [82.61542136170144, 454.36938126121413], [83.22865829911343, 426.1545690509121], [94.81593319427135, 471.66231000252316], [98.78658402243326, 384.2428946609132], [206.86830615997314, 494.84283994829826], [187.52062393898188, 309.1066555771531], [316.6298628799444, 555.4397509999252], [312.9408068490583, 293.46401283045134], [456.1318376230639, 554.7066282427483], [447.3240225592325, 292.4203244807047], [451.929814006007, 470.71535831433164], [440.83628918403804, 351.7716198788876], [604.1459932549055, 466.6542002116664], [588.8786771020224, 351.11973520671353], [758.4610947231914, 476.04240307967626], [734.30099816655, 336.47374203330594]]","[0.9672492146492004, 0.962354302406311, 0.9742746353149414, 0.7145568132400513, 0.7990696430206299, 0.9968334436416626, 0.8701826333999634, 0.9758986830711365, 0.979017972946167, 0.9661675691604614, 0.942969560623169, 0.9893819689750671, 0.9517090320587158, 0.9887138605117798, 0.9699435234069824, 0.9423419237136841, 0.9189291596412659]"
490,"[[121.92742245696311, 434.32338002766147], [58.25806648786678, 443.82272236655206], [56.769060223601585, 394.6834232020036], [68.89277453755224, 497.8540856758373], [88.57727742749591, 381.0528338126589], [185.5049435815146, 485.48907558313397], [191.77980970781903, 327.8837797174043], [340.278622472009, 528.6015122701107], [301.158439991086, 281.8002655175314], [439.2966556549072, 512.2612853711872], [432.9219703119855, 281.94420627429724], [448.9705542409143, 461.42996025998053], [417.29137349683185, 338.9583372271232], [634.1885784947596, 461.05111008055474], [593.4363371383313, 341.8505158492823], [775.9721997283226, 491.355603140507], [748.0304208023604, 355.2763023558986]]","[0.9649404287338257, 0.9593556523323059, 0.8752743005752563, 0.2886641025543213, 0.7018550038337708, 0.8241221904754639, 0.9973344802856445, 0.7834821939468384, 0.9812726974487305, 0.9746866226196289, 0.9489752054214478, 0.98842453956604, 0.9302448034286499, 0.8779730200767517, 0.9749207496643066, 0.9126887321472168, 0.8327047824859619]"
491,"[[103.2791731191236, 430.39630214563397], [45.859455463498136, 444.8826723235646], [41.3915076144906, 408.68759812350476], [63.80713343065839, 433.8760711815939], [72.46542083385378, 370.65094724226225], [172.77244550128316, 479.93115000747605], [178.87988782483478, 324.01600522858104], [331.2686416271121, 534.3896250747607], [333.73023117420286, 268.5579290800688], [400.6820592658464, 513.8808780651914], [402.00785712308664, 291.4166349201111], [433.0748701317366, 456.82879142213665], [437.7764220792194, 337.7751721833882], [603.9250258955844, 457.4017158763831], [592.7694007518679, 325.53654282857354], [753.555114191632, 466.3094114458732], [735.6299154481222, 307.73502477618496]]","[0.9689525365829468, 0.9142553210258484, 0.9714281558990479, 0.3571387827396393, 0.6848708391189575, 0.8137684464454651, 0.9974459409713745, 0.8889431953430176, 0.645216703414917, 0.9740257263183594, 0.9249690771102905, 0.9910061359405518, 0.9837005138397217, 0.9910831451416016, 0.9866397976875305, 0.9299701452255249, 0.9307542443275452]"
492,"[[78.51661274045013, 416.62312338797096], [42.002133746479835, 432.52799148194526], [35.835071208865145, 395.8660180488842], [52.91732229188431, 426.2146930603319], [61.46926267756972, 350.10628586180474], [171.5002494634584, 481.02108458012486], [172.162786217623, 316.52775960675837], [330.5718053773392, 529.7968025755084], [323.83125376146893, 263.93882057883525], [394.51326773887456, 505.04288230786483], [428.52833318155865, 318.87108907745215], [424.5402483773786, 460.7034549986917], [430.05859544665316, 339.8581502083956], [602.6378736274187, 451.91801664361543], [595.0845143517782, 315.1571115010093], [747.5008217567621, 463.69545968525716], [738.3715468464897, 301.07396175986844]]","[0.9764177799224854, 0.9136001467704773, 0.9701931476593018, 0.38181638717651367, 0.6506382822990417, 0.30867183208465576, 0.9972826242446899, 0.9080554246902466, 0.6864421367645264, 0.9340054988861084, 0.5733979940414429, 0.9943591356277466, 0.9774578809738159, 0.9892533421516418, 0.9885131120681763, 0.9272791147232056, 0.9290370345115662]"
493,"[[61.498507477516355, 410.02573551743797], [36.140727553256724, 426.40262293473387], [27.994261941244435, 384.8629512513083], [44.625190113866054, 428.84364369953647], [45.51037282721941, 335.36591890325957], [167.55883398721386, 478.8317637466358], [169.05929126295933, 308.38944868607956], [332.80709572725516, 521.6357509485272], [317.97188834256906, 251.15510055322966], [382.80041987396953, 497.5204716002542], [420.18032516157905, 312.71739028857655], [420.3163273778073, 454.81854452470844], [430.95604878802635, 339.949951171875], [599.7938278553098, 448.7621398633747], [619.4058454646621, 339.3525454872533], [740.4361054024031, 458.1315415669856], [749.9574353417685, 362.6238984468451]]","[0.9849622249603271, 0.8896673321723938, 0.9697944521903992, 0.3376876711845398, 0.6745856404304504, 0.33292728662490845, 0.9968702793121338, 0.918076753616333, 0.6678410768508911, 0.9149675369262695, 0.559784471988678, 0.9933295249938965, 0.9783542156219482, 0.9874680042266846, 0.7078003883361816, 0.9372605085372925, 0.8108177185058594]"
494,"[[59.01117519999659, 400.6108304986543], [24.479791885198548, 417.4714098478618], [29.40263242499773, 372.6327806682678], [33.76245072830555, 448.31552897914173], [44.47524673994197, 323.0997682416268], [167.8175840156023, 480.20857669520035], [164.47783793959508, 300.11323335638457], [323.85600759816725, 515.4390501177483], [313.88315289519556, 256.4844275661633], [365.975479569546, 498.90004719273327], [390.88952650025834, 308.04290333433016], [408.400404752687, 443.5002377158717], [423.4053084864173, 339.1053005382775], [595.33727747895, 441.7385119570499], [589.5743323481361, 324.8627643493944], [731.5269481193188, 453.9779502467105], [723.0272750189138, 320.14468252373655]]","[0.8866530656814575, 0.961380660533905, 0.9734046459197998, 0.4285348653793335, 0.7088695764541626, 0.3642687201499939, 0.9956397414207458, 0.9380639791488647, 0.7859811782836914, 0.9352411031723022, 0.6173377633094788, 0.9909589290618896, 0.9824585914611816, 0.9839217662811279, 0.9834685325622559, 0.9360772371292114, 0.9515482187271118]"
495,"[[53.20214888106945, 399.6301444751794], [21.772254389385846, 418.5296864486767], [27.64647683431936, 375.49605958199385], [28.507151359735534, 436.3617089376495], [39.71442258080771, 320.3978557677931], [162.24795816111012, 475.1296500612104], [163.53836999937545, 294.84121797187476], [323.01988220214844, 503.4856316233366], [309.894698830538, 248.67213783081638], [394.1354190027991, 519.6947132457386], [382.3458562895309, 304.06061929949163], [405.1516699680062, 424.16041324013156], [423.8495367141657, 332.9122734982431], [600.1316137979197, 434.87715287642044], [591.3509051300758, 322.57638155558465], [726.4332974456078, 439.83991267008076], [726.2587860462278, 328.75262538782147]]","[0.8837889432907104, 0.9566649794578552, 0.9755961894989014, 0.3752015233039856, 0.7089147567749023, 0.4106682538986206, 0.995635986328125, 0.936175525188446, 0.8343239426612854, 0.8844103217124939, 0.6494896411895752, 0.8838340640068054, 0.9867911338806152, 0.9766510128974915, 0.9859527945518494, 0.93632572889328, 0.9490771889686584]"
496,"[[58.4157855898835, 397.01278175463517], [34.82671453786451, 395.84943926505497], [28.993872886480286, 365.9381074312201], [35.308412862378496, 427.96080666866027], [59.302735084711124, 342.6709918884569], [126.53603256580442, 439.44035434266596], [171.40855633935263, 289.5330664529755], [281.1768249245577, 481.63062574760767], [313.24022080177485, 239.07433614776465], [418.2637394749841, 524.7672136662679], [401.103642929432, 257.41602555416415], [415.08800961250483, 415.968855716395], [426.5795732154403, 324.9827174136513], [607.1149923635083, 424.07425729851974], [591.9437469216281, 315.96112995056444], [755.5428834959519, 435.51407955479965], [729.483173259469, 317.7432645222787]]","[0.9247545599937439, 0.9019067287445068, 0.9785680770874023, 0.3860411047935486, 0.7976951599121094, 0.5394769906997681, 0.9964570999145508, 0.9767965078353882, 0.7795412540435791, 0.9533281326293945, 0.9394348859786987, 0.9947290420532227, 0.9865953326225281, 0.9714546203613281, 0.9873708486557007, 0.8641542196273804, 0.9475598335266113]"
497,"[[59.87996558255928, 391.6146631560257], [35.68854487219522, 382.6619359066612], [27.604565376459167, 355.60435609954396], [36.08309142534123, 417.44355562200957], [56.96684841777003, 336.3360624906549], [133.13771074871684, 432.26279518821025], [166.65227668229923, 282.2464879962246], [289.47753591315694, 486.07874601081227], [308.39995761250344, 236.8513861113188], [424.2041815824287, 528.563398881392], [403.3442556691724, 237.11618523848685], [414.3993411840395, 414.02394855992077], [430.5786141905674, 319.9772446919856], [605.9322660135668, 422.68343838778407], [591.3792870100154, 318.99360620234], [750.5876629851585, 420.42464698901017], [731.4529109999191, 322.07937724282294]]","[0.9373214840888977, 0.9192739129066467, 0.9754033088684082, 0.4228519797325134, 0.7647325992584229, 0.6123669147491455, 0.9961317777633667, 0.9817659854888916, 0.795728325843811, 0.9288209080696106, 0.9522532224655151, 0.9938585758209229, 0.9857917428016663, 0.970427393913269, 0.9831945300102234, 0.825186014175415, 0.9450702667236328]"
498,"[[61.270110817842706, 378.97916948966434], [26.242323320965436, 380.46405846992747], [26.407914206039074, 355.93035392213665], [35.81509177629338, 417.1057508550763], [56.186176654904386, 341.25879899166415], [162.13227649067724, 452.01503041828647], [143.36193971855695, 295.6440318714489], [315.9410407487736, 479.55203553706264], [285.5000730558883, 264.37897750635466], [418.9322064421898, 515.3274112683164], [397.58389299969343, 303.70652194228467], [413.0907056719758, 411.27152584386215], [431.4111241407173, 328.1775428005383], [610.7945446857186, 410.1344700863487], [586.7996382602425, 314.76735384270336], [723.2664723507194, 405.7476134961872], [720.4889281073282, 318.03028891531477]]","[0.9845478534698486, 0.897384762763977, 0.9719806909561157, 0.37674006819725037, 0.8027480840682983, 0.9791877269744873, 0.608208954334259, 0.9485551714897156, 0.9402502775192261, 0.9582207202911377, 0.7199493646621704, 0.9948896169662476, 0.5172009468078613, 0.9542641043663025, 0.9846597909927368, 0.9177842736244202, 0.9516128897666931]"
499,"[[56.12431095921716, 394.62765634345095], [19.606203922005587, 380.5344664651241], [20.922032533689986, 355.9661310369318], [33.961445120878, 411.0954949045866], [52.449358252591864, 335.53313186864534], [127.30296059541925, 425.9015622663726], [163.47642871945405, 277.8785289417614], [281.1408972185712, 486.82446639503587], [314.8689728670342, 227.36699008485346], [421.47275002058166, 512.4730554608067], [401.0153668425804, 231.01797879597788], [414.74461547718494, 410.7354356683612], [426.1858384054761, 314.48813698508525], [615.094265649485, 404.31590395110646], [592.1123312573101, 316.058587617281], [744.5653694507688, 399.82960970207836], [718.522254677706, 322.28782252261516]]","[0.9344297647476196, 0.8750553131103516, 0.9727843403816223, 0.3218343257904053, 0.8222157955169678, 0.6328242421150208, 0.9952885508537292, 0.9793111085891724, 0.8194369077682495, 0.9531978368759155, 0.9464688897132874, 0.9946476221084595, 0.9897052645683289, 0.9501305818557739, 0.983931303024292, 0.6984673142433167, 0.9458773136138916]"
